Player,Age,Team,Pos,MIN,"BLK%","","STL%","","FOUL%","","fgOR%","","fgDR%","","ftOR%","","ftDR%",""
"","","","","","%","#","%","#","%","#","%","#","%","#","%","#","%","#"
"Steven Adams",26.2,OKC,Big,1448,63,"2.1%",71,"1.3%",87,"2.7%",95,"13.5%",79,"21.2%",94,"10.1%",31,"22.9%"
"Bam Adebayo",22.2,MIA,Big,2035,56,"1.9%",83,"1.6%",88,"2.7%",56,"8.1%",80,"21.3%",59,"2.9%",81,"42.9%"
"LaMarcus Aldridge",34.2,SAS,Big,1706,71,"2.5%",23,"0.8%",92,"2.6%",40,"6.3%",38,"16.3%",0,"0.0%",21,"19.1%"
"Nickeil Alexander-Walker",21.1,NOP,Combo,444,72,"0.8%",8,"0.9%",25,"3.8%",11,"1.2%",89,"14.0%",0,"0.0%",44,"3.8%"
"Grayson Allen",24.0,MEM,Wing,466,6,"0.1%",4,"0.5%",49,"3.2%",10,"0.8%",70,"11.9%",0,"0.0%",31,"3.6%"
"Jarrett Allen",21.5,BKN,Big,1532,74,"2.6%",35,"1.0%",72,"3.2%",83,"11.4%",84,"21.9%",53,"2.1%",88,"47.2%"
"Al-Farouq Aminu",29.1,ORL,Forward,380,78,"1.1%",87,"2.0%",85,"2.6%",90,"5.4%",76,"15.8%",87,"4.2%",79,"29.4%"
"Kyle Anderson",26.1,MEM,Forward,979,87,"1.2%",78,"1.7%",66,"3.0%",79,"4.7%",69,"14.9%",91,"5.4%",88,"32.8%"
"Giannis Antetokounmpo",24.9,MIL,Big,1621,47,"1.7%",76,"1.4%",85,"2.8%",47,"7.4%",99,"29.3%",58,"2.7%",97,"60.3%"
"Carmelo Anthony",35.4,POR,Big,1467,12,"0.7%",43,"1.0%",75,"3.1%",19,"3.9%",23,"14.1%",0,"0.0%",32,"23.0%"
"OG Anunoby",22.2,TOR,Forward,1697,85,"1.2%",84,"1.9%",57,"3.2%",70,"3.7%",54,"13.1%",94,"7.8%",76,"28.0%"
"Ryan Arcidiacono",25.6,CHI,Wing,843,9,"0.2%",46,"1.2%",23,"4.3%",36,"1.8%",42,"10.1%",0,"0.0%",44,"6.1%"
"Trevor Ariza",34.3,POR,Forward,530,25,"0.5%",94,"2.3%",69,"2.9%",6,"1.4%",33,"11.4%",96,"8.7%",61,"23.1%"
"Trevor Ariza",34.3,SAC,Forward,768,36,"0.6%",82,"1.9%",45,"3.4%",39,"2.7%",70,"15.2%",0,"0.0%",93,"35.7%"
"D.J. Augustin",31.9,ORL,Point,1083,2,"0.0%",20,"1.1%",93,"1.7%",17,"1.4%",15,"7.4%",0,"0.0%",54,"3.9%"
"Deandre Ayton",21.2,PHX,Big,950,75,"2.6%",26,"0.9%",62,"3.6%",92,"12.8%",77,"21.0%",0,"0.0%",90,"49.1%"
"Dwayne Bacon",24.1,CHA,Wing,645,8,"0.2%",63,"1.5%",46,"3.2%",46,"2.1%",71,"12.0%",83,"2.3%",92,"25.8%"
"Marvin Bagley",20.6,SAC,Big,326,55,"1.9%",22,"0.8%",22,"5.3%",60,"8.7%",70,"20.5%",0,"0.0%",34,"23.8%"
"Lonzo Ball",22.0,NOP,Combo,1610,70,"0.7%",74,"1.8%",89,"2.3%",80,"3.4%",97,"14.6%",0,"0.0%",90,"11.6%"
"Mohamed Bamba",21.4,ORL,Big,800,99,"5.4%",35,"1.0%",27,"5.1%",72,"10.0%",62,"19.5%",56,"2.7%",98,"62.5%"
"J.J. Barea",35.3,DAL,Point,273,13,"0.2%",0,"0.5%",74,"2.3%",72,"3.0%",50,"10.0%",0,"0.0%",85,"11.1%"
"Harrison Barnes",27.4,SAC,Forward,2032,9,"0.2%",9,"0.7%",100,"1.4%",34,"2.7%",28,"10.9%",49,"1.0%",10,"8.1%"
"RJ Barrett",19.3,NYK,Wing,1476,42,"0.5%",35,"1.1%",65,"2.8%",64,"2.8%",79,"12.9%",93,"3.5%",80,"19.1%"
"Will Barton",28.8,DEN,Wing,1690,67,"0.8%",60,"1.4%",80,"2.5%",90,"4.5%",87,"14.3%",0,"0.0%",91,"25.3%"
"Keita Bates-Diop",23.7,MIN,Big,613,33,"1.3%",46,"1.1%",99,"1.9%",10,"2.9%",15,"13.2%",0,"0.0%",20,"19.0%"
"Nicolas Batum",30.8,CHA,Wing,488,66,"0.7%",66,"1.6%",31,"3.7%",94,"5.2%",85,"14.0%",0,"0.0%",88,"25.0%"
"Aron Baynes",32.8,PHX,Big,826,32,"1.2%",4,"0.4%",14,"6.0%",52,"7.7%",51,"17.5%",62,"3.1%",46,"27.5%"
"Kent Bazemore",30.3,POR,Wing,1068,92,"1.4%",70,"1.7%",16,"4.6%",17,"1.2%",72,"12.1%",0,"0.0%",85,"22.1%"
"Kent Bazemore",30.3,SAC,Forward,337,76,"1.1%",93,"2.3%",9,"5.3%",42,"2.8%",93,"18.2%",0,"0.0%",96,"40.0%"
"Darius Bazley",19.3,OKC,Big,854,60,"2.0%",26,"0.9%",98,"2.0%",9,"2.4%",46,"17.0%",0,"0.0%",43,"26.7%"
"Bradley Beal",26.3,WAS,Wing,1818,41,"0.5%",54,"1.3%",94,"2.1%",61,"2.7%",38,"9.8%",0,"0.0%",46,"6.2%"
"Malik Beasley",22.9,DEN,Wing,691,18,"0.3%",79,"1.8%",77,"2.5%",20,"1.3%",35,"9.4%",0,"0.0%",53,"7.3%"
