Player,Age,Team,Pos,MIN,"FT%","","SFLD%","","FFLD%","","AND1%",""
"","","","","","%","#","%","#","%","#","%","#"
"Tobias Harris",27.2,PHI,Forward,2135,62,"80.0%",41,"8.3%",47,"0.9%",73,"29.1%"
"Shai Gilgeous-Alexander",21.3,OKC,Wing,2130,55,"80.7%",85,"12.5%",95,"2.8%",63,"25.2%"
"Devin Booker",23.0,PHX,Wing,2115,97,"91.6%",86,"12.7%",100,"4.0%",26,"16.9%"
"Harrison Barnes",27.4,SAC,Forward,2100,62,"80.0%",86,"14.0%",73,"1.5%",33,"19.8%"
"James Harden",30.1,HOU,Combo,2094,77,"86.7%",100,"18.1%",100,"3.1%",53,"23.1%"
"Zach LaVine",24.6,CHI,Wing,2080,54,"80.7%",78,"10.9%",90,"1.9%",53,"23.2%"
"Bam Adebayo",22.2,MIA,Big,2072,36,"69.3%",91,"19.3%",86,"2.7%",39,"24.0%"
"CJ McCollum",28.1,POR,Combo,2071,23,"75.2%",29,"5.8%",19,"0.8%",61,"25.0%"
"PJ Tucker",34.4,HOU,Big,2060,91,"84.1%",2,"2.8%",16,"0.9%",26,"20.0%"
"Devonte' Graham",24.6,CHA,Point,2041,49,"80.6%",45,"7.9%",87,"3.0%",62,"24.3%"
"Donovan Mitchell",23.1,UTA,Combo,2025,69,"85.3%",61,"8.7%",92,"2.2%",42,"20.2%"
"Terry Rozier",25.6,CHA,Combo,2018,83,"87.2%",37,"6.6%",68,"1.6%",77,"28.3%"
"Rudy Gobert",27.3,UTA,Big,2006,15,"61.8%",98,"24.8%",96,"3.6%",23,"19.2%"
"Damian Lillard",29.2,POR,Point,1992,95,"88.7%",79,"11.1%",94,"3.7%",66,"24.8%"
"Domantas Sabonis",23.4,IND,Big,1983,46,"72.6%",71,"14.0%",97,"3.7%",38,"24.0%"
"LeBron James",34.8,LAL,Forward,1978,16,"68.9%",74,"12.4%",99,"2.5%",90,"36.9%"
"DeMar DeRozan",30.2,SAS,Forward,1973,82,"84.1%",99,"17.9%",90,"2.0%",59,"25.7%"
"Trae Young",21.1,ATL,Point,1973,72,"85.9%",96,"14.2%",100,"4.6%",32,"17.3%"
"Nikola Jokic",24.6,DEN,Big,1964,83,"81.5%",40,"9.6%",100,"4.5%",36,"23.2%"
"Bojan Bogdanovic",30.5,UTA,Forward,1963,98,"90.0%",67,"10.9%",79,"1.6%",51,"24.8%"
"Buddy Hield",26.8,SAC,Wing,1944,83,"86.2%",18,"4.2%",53,"1.0%",44,"20.5%"
"Collin Sexton",20.8,CLE,Point,1930,67,"84.0%",57,"9.1%",74,"2.5%",72,"29.2%"
"Ben Simmons",23.2,PHI,Point,1928,5,"62.5%",98,"16.5%",85,"2.9%",45,"20.5%"
"Kelly Oubre",23.8,PHX,Forward,1921,51,"78.0%",80,"13.2%",66,"1.3%",53,"25.0%"
"Julius Randle",24.9,NYK,Big,1900,42,"71.9%",75,"14.5%",76,"2.2%",48,"25.7%"
"Chris Paul",34.4,OKC,Point,1897,97,"89.8%",11,"3.7%",96,"3.9%",96,"50.0%"
"Bradley Beal",26.3,WAS,Wing,1892,72,"83.8%",88,"13.5%",96,"2.8%",34,"19.9%"
"Jayson Tatum",21.6,BOS,Forward,1891,71,"81.4%",60,"10.3%",91,"2.0%",20,"16.5%"
"Evan Fournier",27.0,ORL,Wing,1888,63,"82.2%",58,"8.8%",83,"1.5%",69,"27.5%"
"TJ Warren",26.1,IND,Forward,1876,69,"80.6%",61,"10.4%",50,"1.0%",83,"31.9%"
"Spencer Dinwiddie",26.5,BKN,Combo,1874,29,"77.4%",98,"16.9%",63,"1.5%",40,"20.1%"
