Player,Age,Team,Pos,MIN,"FT%","","SFLD%","","FFLD%","","AND1%",""
"","","","","","%","#","%","#","%","#","%","#"
"Shareef Abdur-Rahim",26.8,ATL,Forward,1956,95,"88.0%",0,"0.0%",0,"0.0%",0,""
"Shareef Abdur-Rahim",26.8,POR,Forward,709,78,"82.6%",0,"0.0%",100,"0.1%",0,""
"Malik Allen",25.3,MIA,Big,577,61,"72.4%",0,"0.0%",0,"0.0%",0,""
"Ray Allen",28.2,OKC,Combo,2147,100,"90.3%",0,"0.0%",0,"0.0%",0,""
"Rafer Alston",27.2,MIA,Point,2546,37,"77.7%",0,"0.0%",0,"0.0%",0,""
"Chris Andersen",25.3,DEN,Big,1017,19,"58.9%",0,"0.0%",0,"0.0%",0,""
"Derek Anderson",29.2,POR,Wing,1808,77,"82.4%",0,"0.0%",0,"0.0%",0,""
"Kenny Anderson",33.0,IND,Point,862,4,"67.5%",0,"0.0%",0,"0.0%",0,""
"Shandon Anderson",29.8,NYK,Wing,1917,37,"76.1%",0,"0.0%",0,"0.0%",0,""
"Carmelo Anthony",19.4,DEN,Wing,2985,48,"77.7%",0,"0.0%",0,"0.0%",0,""
"Robert Archibald",23.5,TOR,Big,233,4,"48.1%",0,"0.0%",0,"0.0%",0,""
"Gilbert Arenas",21.8,WAS,Combo,2048,35,"74.8%",0,"0.0%",0,"0.0%",0,""
"Brandon Armstrong",23.3,BKN,Combo,329,"","50.0%",0,"0.0%",0,"0.0%",0,""
"Darrell Armstrong",35.3,NOP,Point,2213,83,"85.0%",0,"0.0%",0,"0.0%",0,""
"Carlos Arroyo",24.2,UTA,Point,2000,52,"80.4%",0,"0.0%",0,"0.0%",0,""
"Chucky Atkins",29.2,BOS,Point,793,38,"77.8%",0,"0.0%",0,"0.0%",0,""
"Chucky Atkins",29.2,DET,Point,718,17,"72.1%",0,"0.0%",0,"0.0%",0,""
"Stacey Augmon",35.2,NOP,Wing,1409,57,"78.8%",0,"0.0%",0,"0.0%",0,""
"Vin Baker",31.9,BOS,Big,1003,63,"73.2%",0,"0.0%",0,"0.0%",0,""
"Vin Baker",31.9,NYK,Big,301,52,"70.7%",0,"0.0%",0,"0.0%",0,""
"Marcus Banks",21.9,BOS,Point,1320,27,"75.4%",0,"0.0%",0,"0.0%",0,""
"Leandro Barbosa",20.9,PHX,Combo,1486,41,"77.0%",0,"0.0%",0,"0.0%",0,""
"Matt Barnes",23.6,LAC,Forward,700,27,"69.5%",0,"0.0%",0,"0.0%",0,""
"Brent Barry",31.8,OKC,Wing,1799,78,"82.7%",0,"0.0%",97,"0.0%",0,""
"Jon Barry",34.2,DEN,Wing,1042,81,"84.1%",0,"0.0%",0,"0.0%",0,""
"Tony Battie",27.7,BOS,Big,492,48,"69.7%",0,"0.0%",0,"0.0%",0,""
"Tony Battie",27.7,CLE,Big,951,79,"76.8%",0,"0.0%",0,"0.0%",0,""
"Shane Battier",25.1,MEM,Wing,1919,21,"72.8%",0,"0.0%",0,"0.0%",0,""
"Lonny Baxter",24.7,CHI,Big,124,"","62.5%",0,"0.0%",0,"0.0%",0,""
"Lonny Baxter",24.7,TOR,Big,478,10,"53.7%",0,"0.0%",0,"0.0%",0,""
"Lonny Baxter",24.7,WAS,Big,115,"","62.5%",0,"0.0%",0,"0.0%",0,""
"Raja Bell",27.1,UTA,Wing,1987,52,"78.4%",0,"0.0%",0,"0.0%",0,""
"Jonathan Bender",22.7,IND,Big,248,99,"87.2%",0,"0.0%",0,"0.0%",0,""
"Travis Best",31.3,DAL,Point,727,92,"88.9%",0,"0.0%",0,"0.0%",0,""
"Mike Bibby",25.4,SAC,Point,2977,58,"81.4%",0,"0.0%",0,"0.0%",0,""
"Chauncey Billups",27.0,DET,Combo,2756,97,"87.8%",0,"0.0%",0,"0.0%",0,""
"Steve Blake",23.6,WAS,Point,1290,71,"83.1%",0,"0.0%",0,"0.0%",0,""
"Corie Blount",34.8,CHI,Big,728,"","54.5%",0,"0.0%",0,"0.0%",0,""
"Corie Blount",34.8,TOR,Big,290,"","66.7%",0,"0.0%",0,"0.0%",0,""
"Mark Blount",27.9,BOS,Big,2398,56,"71.9%",0,"0.0%",0,"0.0%",0,""
"Keith Bogans",23.4,ORL,Wing,1736,7,"63.3%",0,"0.0%",98,"0.0%",0,""
"Calvin Booth",27.4,OKC,Big,1188,87,"79.1%",0,"0.0%",0,"0.0%",0,""
"Carlos Boozer",21.9,CLE,Big,2586,81,"77.0%",0,"0.0%",0,"0.0%",0,""
"Curtis Borchardt",23.1,UTA,Big,248,"","81.2%",0,"0.0%",0,"0.0%",0,""
"Chris Bosh",19.6,TOR,Big,2502,49,"69.9%",0,"0.0%",0,"0.0%",0,""
"Bruce Bowen",32.3,SAS,Wing,2616,2,"57.9%",0,"0.0%",96,"0.0%",0,""
"Ryan Bowen",27.9,DEN,Forward,322,"","80.0%",0,"0.0%",0,"0.0%",0,""
"Earl Boykins",27.4,DEN,Point,1757,88,"87.5%",0,"0.0%",0,"0.0%",0,""
"Shawn Bradley",31.6,DAL,Big,732,93,"83.0%",0,"0.0%",0,"0.0%",0,""
"Torraye Braggs",27.4,HOU,Big,122,"","66.7%",0,"0.0%",0,"0.0%",0,""
"Elton Brand",24.6,LAC,Big,2670,81,"77.2%",0,"0.0%",94,"0.0%",0,""
"J.R. Bremer",23.1,CLE,Combo,386,"","65.0%",0,"0.0%",0,"0.0%",0,""
"Jamison Brewer",22.9,IND,Combo,149,"","25.0%",0,"0.0%",0,"0.0%",0,""
"Devin Brown",24.8,SAS,Combo,515,59,"80.0%",0,"0.0%",0,"0.0%",0,""
"Kedrick Brown",22.6,BOS,Wing,398,"","61.5%",0,"0.0%",0,"0.0%",0,""
"Kedrick Brown",22.6,CLE,Combo,547,"","64.3%",0,"0.0%",0,"0.0%",0,""
"Kwame Brown",21.6,WAS,Big,2191,43,"68.1%",0,"0.0%",0,"0.0%",0,""
"P.J. Brown",34.0,NOP,Big,2751,96,"85.2%",0,"0.0%",0,"0.0%",0,""
"Rick Brunson",31.3,CHI,Point,354,98,"89.7%",0,"0.0%",0,"0.0%",0,""
"Kobe Bryant",25.1,LAL,Wing,2442,87,"85.1%",0,"0.0%",0,"0.0%",0,""
"Greg Buckner",27.1,PHI,Wing,646,"","72.0%",0,"0.0%",0,"0.0%",0,""
"Caron Butler",23.6,MIA,Wing,2000,38,"76.2%",0,"0.0%",0,"0.0%",0,""
"Mitchell Butler",32.8,WAS,Wing,521,"","66.7%",0,"0.0%",0,"0.0%",0,""
"Rasual Butler",24.4,MIA,Wing,626,"","72.2%",0,"0.0%",0,"0.0%",0,""
"Zarko Cabarkapa",22.4,PHX,Forward,559,24,"68.6%",0,"0.0%",0,"0.0%",0,""
"Marcus Camby",29.6,DEN,Big,2162,56,"72.1%",0,"0.0%",87,"0.0%",0,""
"Elden Campbell",35.2,DET,Big,886,46,"68.5%",0,"0.0%",0,"0.0%",0,""
"Brian Cardinal",26.4,GSW,Forward,1603,90,"87.8%",0,"0.0%",93,"0.0%",0,""
"Vince Carter",26.7,TOR,Wing,2781,67,"80.6%",0,"0.0%",0,"0.0%",0,""
"Sam Cassell",33.9,MIN,Point,2840,87,"87.2%",0,"0.0%",0,"0.0%",0,""
"Kelvin Cato",29.1,HOU,Big,1744,41,"67.6%",0,"0.0%",0,"0.0%",0,""
