Player,Age,Team,Pos,MIN,"eFG%","",Rim,"","Short Mid","","Long Mid","","All Mid","","Corner Three","","Non Corner","","All Three",""
"","","","","","%","#","%","#","%","#","%","#","%","#","%","#","%","#","%","#"
"Steven Adams",26.2,OKC,Big,1475,71,"58.9%",72,"62%",99,"37%",14,"1%",82,"37%",17,"0%",0,"0%",10,"0%"
"Bam Adebayo",22.2,MIA,Big,2072,58,"56.4%",65,"59%",93,"32%",71,"8%",90,"40%",29,"1%",18,"0%",19,"1%"
"LaMarcus Aldridge",34.2,SAS,Big,1706,38,"53.7%",15,"25%",77,"24%",100,"32%",100,"57%",40,"3%",47,"15%",44,"19%"
"Nickeil Alexander-Walker",21.1,NOP,Combo,444,21,"46.4%",53,"30%",34,"15%",26,"5%",23,"20%",73,"10%",77,"39%",79,"49%"
"Grayson Allen",24.0,MEM,Wing,466,71,"55.0%",38,"22%",90,"25%",19,"3%",62,"28%",63,"15%",52,"34%",56,"49%"
"Jarrett Allen",21.5,BKN,Big,1550,89,"64.7%",94,"86%",28,"13%",9,"0%",18,"13%",26,"1%",0,"0%",16,"1%"
"Al-Farouq Aminu",29.1,ORL,Forward,380,1,"34.3%",77,"41%",53,"16%",56,"6%",49,"22%",31,"10%",43,"26%",36,"36%"
"Kyle Anderson",26.1,MEM,Forward,1000,43,"51.0%",64,"39%",97,"31%",77,"13%",91,"43%",53,"13%",1,"5%",3,"18%"
"Giannis Antetokounmpo",24.9,MIL,Big,1686,69,"58.8%",62,"57%",44,"16%",64,"7%",47,"23%",23,"1%",57,"20%",47,"20%"
"Carmelo Anthony",35.4,POR,Big,1493,6,"46.6%",19,"27%",74,"23%",99,"24%",97,"47%",51,"5%",58,"21%",53,"26%"
"OG Anunoby",22.2,TOR,Forward,1773,81,"57.4%",94,"53%",11,"6%",27,"2%",14,"8%",84,"20%",14,"18%",43,"38%"
"Ryan Arcidiacono",25.6,CHI,Wing,864,62,"53.3%",30,"19%",59,"17%",31,"5%",40,"22%",71,"19%",73,"40%",80,"60%"
"Trevor Ariza",34.3,SAC,Forward,768,44,"51.2%",21,"24%",3,"4%",33,"3%",6,"7%",94,"27%",87,"42%",94,"69%"
"Trevor Ariza",34.3,POR,Forward,565,89,"58.0%",90,"46%",6,"5%",26,"2%",9,"7%",76,"17%",50,"29%",71,"46%"
"D.J. Augustin",31.9,ORL,Point,1106,21,"47.2%",36,"25%",45,"19%",60,"16%",47,"35%",62,"6%",64,"34%",60,"40%"
"Deandre Ayton",21.2,PHX,Big,989,45,"54.3%",57,"53%",92,"31%",87,"15%",96,"46%",0,"0%",19,"1%",13,"1%"
"Dwayne Bacon",24.1,CHA,Wing,645,3,"38.9%",85,"44%",86,"23%",52,"10%",78,"33%",7,"4%",18,"20%",7,"24%"
"Marvin Bagley",20.6,SAC,Big,326,8,"47.9%",53,"50%",90,"29%",76,"9%",86,"39%",20,"1%",41,"11%",34,"11%"
"Lonzo Ball",22.0,NOP,Combo,1680,68,"51.9%",39,"25%",10,"8%",48,"10%",18,"19%",87,"14%",85,"42%",89,"56%"
"Mohamed Bamba",21.4,ORL,Big,813,43,"54.1%",52,"49%",19,"11%",69,"8%",29,"18%",44,"4%",70,"29%",61,"33%"
"J.J. Barea",35.3,DAL,Point,299,30,"49.3%",64,"30%",49,"20%",36,"11%",34,"31%",53,"5%",62,"33%",53,"39%"
"Harrison Barnes",27.4,SAC,Forward,2100,50,"52.2%",71,"40%",87,"25%",46,"5%",70,"30%",40,"12%",16,"18%",20,"30%"
"RJ Barrett",19.3,NYK,Wing,1506,11,"44.6%",90,"48%",70,"19%",49,"9%",56,"28%",33,"9%",8,"15%",8,"24%"
"Will Barton",28.8,DEN,Wing,1750,45,"51.1%",69,"36%",74,"19%",55,"10%",67,"30%",11,"5%",46,"30%",27,"35%"
"Keita Bates-Diop",23.7,MIN,Big,613,18,"50.3%",43,"42%",36,"14%",37,"3%",27,"17%",87,"16%",62,"24%",74,"40%"
"Nicolas Batum",30.8,CHA,Wing,488,7,"43.5%",44,"25%",6,"5%",62,"11%",26,"16%",89,"24%",54,"35%",77,"59%"
"Aron Baynes",32.8,PHX,Big,826,51,"55.5%",38,"40%",58,"18%",31,"2%",41,"20%",52,"6%",79,"34%",71,"40%"
"Kent Bazemore",30.3,POR,Wing,1068,14,"45.1%",50,"29%",37,"12%",61,"11%",42,"23%",88,"23%",34,"26%",52,"49%"
"Kent Bazemore",30.3,SAC,Forward,394,29,"47.8%",91,"46%",60,"18%",53,"6%",57,"24%",67,"16%",9,"14%",19,"29%"
"Darius Bazley",19.3,OKC,Big,854,4,"44.8%",35,"39%",51,"17%",41,"3%",42,"21%",91,"19%",59,"21%",72,"40%"
"Bradley Beal",26.3,WAS,Wing,1892,50,"51.8%",60,"32%",73,"19%",83,"16%",87,"36%",10,"5%",41,"28%",19,"33%"
"Malik Beasley",22.9,DEN,Wing,691,35,"49.6%",31,"19%",65,"17%",68,"13%",68,"30%",48,"12%",71,"39%",62,"51%"
"Malik Beasley",22.9,MIN,Wing,332,91,"58.9%",45,"25%",53,"15%",47,"9%",44,"24%",25,"8%",81,"43%",59,"51%"
"Marco Belinelli",33.6,SAS,Wing,702,15,"45.5%",8,"10%",19,"8%",99,"27%",86,"36%",53,"14%",76,"41%",70,"55%"
